Loan ID,Amount Requested,Amount Funded By Investors,Interest Rate,Loan Length,CREDIT Grade,Loan Title,Loan Purpose,Monthly PAYMENT,Total Amount Funded,Debt-To-Income Ratio,City,State,Home Ownership,Monthly Income,FICO Range,Earliest CREDIT Line,Open CREDIT Lines,Total CREDIT Lines,Revolving CREDIT Balance,Revolving Line Utilization,Inquiries in the Last 6 Months,Accounts Now Delinquent,Delinquent Amount,Delinquencies (Last 2 yrs),Months Since Last Delinquency,Public Records On File,Months Since Last Record,Education,Employment Length,"Status (Fully Paid=1, Not Paid=0)"
2078122,20000,20000,14.09%,36 months,B5,Debt Consolidation,credit_card,684.43,20000,12.45%,Washington,DC,RENT,6500,685-689,10/9/02,7,12,22542,81.40%,0,0,0,0,27,0,,,< 1 year,?
1140824,18000,18000,17.27%,60 months,D3,Debt Consolidation ,debt_consolidation,449.97,18000,4.93%,romeoville,IL,RENT,3000,725-729,12/14/04,8,14,5752,24.90%,1,0,0,0,,0,,,10+ years,?
583179,9600,9575,11.49%,60 months,B4,fix it up,home_improvement,211.09,9600,0.72%,Ravenna,OH,MORTGAGE,2500,790-794,2/13/94,2,15,940,18.80%,1,0,0,0,,0,,,< 1 year,?
444305,4000,4000,11.83%,36 months,B3,Recent College Grad with New Job,moving,132.54,4000,1.57%,FAIRFIELD,CT,RENT,3750,725-729,2/18/81,4,6,49680,85.20%,1,0,0,0,,0,,"Swarthmore College,Yale University",< 1 year,?
1086514,9600,9600,6.62%,36 months,A2,Bill consolidation/Home Improvement,house,294.76,9600,23.70%,Bourbon,MO,MORTGAGE,3333.33,750-754,1/8/93,7,33,6776,34.30%,1,0,0,0,,0,,,10+ years,?
2305781,6000,5950,10.16%,36 months,B1,Pay off bills,debt_consolidation,0,6000,34.08%,LANCASTER,NY,MORTGAGE,3333.33,705-709,4/22/97,9,19,14743,80.10%,0,0,0,0,42,0,,,10+ years,?
2378037,35000,35000,17.27%,60 months,C5,Credit card refinancing,credit_card,874.93,35000,17.64%,CIBOLO,TX,MORTGAGE,10833.33,690-694,2/9/96,13,30,24756,75.90%,0,0,0,0,65,0,,,6 years,?
455781,10000,10000,11.14%,36 months,B1,Consolidate Debt,credit_card,328.04,10000,19.31%,alviso,CA,RENT,4164,720-724,12/13/00,6,14,6648,47.10%,0,0,0,0,,0,,,6 years,?
973077,9800,9800,7.51%,36 months,A3,Personal Loan,other,304.89,9800,27.26%,San Jose,CA,RENT,4166.67,735-739,12/21/01,12,24,12028,30.90%,3,0,0,0,35,0,,,10+ years,?
2306453,10000,9975,14.33%,36 months,C1,Debt Consolidation,debt_consolidation,343.39,10000,16.32%,LEMOORE,CA,MORTGAGE,2683.33,670-674,1/13/99,8,28,12822,70.10%,0,0,0,0,52,0,,,9 years,?
406894,4000,4000,9.63%,36 months,A5,2007 HD 1200C,other,128.38,4000,7.87%,Orem,UT,MORTGAGE,7916.67,720-724,10/13/87,9,27,5961,13.40%,2,0,0,1,16,0,,BYU,5 years,?
2081511,6000,6000,11.14%,36 months,B2,Debt consolidation,debt_consolidation,196.84,6000,23.16%,Fort Pierce,FL,MORTGAGE,2250,690-694,3/2/99,10,28,5836,31.40%,0,0,0,0,78,0,,,n/a,?
2445102,7200,7200,13.11%,36 months,B4,Consolidation ,debt_consolidation,0,7200,21.52%,OCOEE,FL,MORTGAGE,2500,680-684,1/10/02,6,18,6283,55.60%,0,0,0,0,45,0,,,4 years,?
429147,11500,7878.6,13.79%,36 months,C5,Looking To Consolidate Debt,debt_consolidation,391.87,11500,10.89%,HARRISBURG,PA,RENT,3500,685-689,7/14/99,5,6,11637,91.60%,1,0,0,0,,0,,"Harrisburg Area Community College-Harrisburg,University of Phoenix",9 years,?
381739,22400,3431.89,14.11%,36 months,D1,CREDIT,other,766.73,22400,7.78%,New York,NY,RENT,7083,695-699,2/12/96,13,20,18067,60.60%,0,0,0,0,24,0,,,6 years,?
364376,3000,2354.86,9.38%,36 months,A5,Investing in a SOLID business!,small_business,95.94,3000,1.36%,Stockbridge,GA,RENT,6250,725-729,12/8/87,7,8,3484,29%,4,0,0,0,,0,,,1 year,?
2300330,28000,28000,8.90%,36 months,A5,My Loan,debt_consolidation,889.09,28000,14.15%,FLOWER MOUND,TX,MORTGAGE,10000,700-704,11/9/88,11,30,47163,69.80%,0,0,0,0,28,0,,,10+ years,?
429170,10000,10000,10.95%,36 months,B1,Credit card consolidation,debt_consolidation,327.14,10000,22.46%,naples,FL,RENT,4166.67,725-729,2/19/98,17,34,10593,37.20%,0,0,0,0,61,0,,Ferris State University,2 years,?
498827,17500,17500,13.48%,36 months,C3,Debt Consolidation Loan,credit_card,593.68,17500,20.15%,Canton,OH,MORTGAGE,3413.58,720-724,3/15/95,6,24,59821,96.60%,1,0,0,0,42,0,,,4 years,?
1142603,12000,12000,12.12%,36 months,B3,Debt Consolidation,debt_consolidation,399.26,12000,3.34%,New York,NY,OWN,9833.33,695-699,9/10/88,7,13,19280,20.50%,0,0,0,0,32,0,,,< 1 year,?
414410,10000,9825,9.32%,36 months,A4,House Facelift ,home_improvement,319.47,10000,2.56%,EL PASO,TX,RENT,2500,780-784,1/11/03,7,11,473,1.90%,0,0,0,0,,0,,EPCC,< 1 year,?
594261,11000,11000,17.19%,36 months,E3,Freedom,debt_consolidation,393.23,11000,3.53%,Poway,CA,RENT,3484,660-664,8/9/04,2,4,6930,50.60%,1,0,0,0,48,0,,,10+ years,?
2185574,23500,23500,18.49%,36 months,D2,Business,small_business,855.37,23500,16.70%,Makawao,HI,MORTGAGE,9833.33,735-739,5/29/94,3,25,0,,0,0,0,0,34,0,,,6 years,?
1481767,3600,3575,14.33%,36 months,C1,Home buying,house,123.62,3600,10.89%,West Memphis,AR,RENT,5833.33,675-679,12/6/02,7,22,10010,74.10%,1,0,0,0,47,0,,,3 years,?
1200263,35000,34975,20.99%,36 months,E3,Home Improvement,house,1318.45,35000,6.81%,Marco Island,FL,OWN,15000,675-679,6/5/03,10,12,42520,93.50%,0,0,0,0,,0,,,10+ years,?
2378445,10000,10000,8.90%,36 months,A5,Credit Card Payoff,debt_consolidation,317.54,10000,4.46%,SANTA FE,NM,MORTGAGE,6666.67,675-679,5/6/96,9,46,11199,67.10%,1,0,0,1,18,0,,,1 year,?
526344,2000,2000,15.58%,36 months,D3,Brandon,debt_consolidation,69.91,2000,9.67%,CHAMPAIGN,IL,RENT,1800,670-674,2/21/07,6,8,1340,47.90%,5,0,0,0,,0,,,< 1 year,?
401782,3200,3200,12.21%,36 months,B5,student loan payoff,debt_consolidation,106.61,3200,14%,Sacramento,CA,RENT,2300,685-689,8/1/98,11,30,3243,24%,2,0,0,0,37,0,,California State University-Sacramento (CSUS),2 years,?
2367411,6300,6300,7.90%,36 months,A4,Other,other,197.13,6300,0.30%,naples,FL,MORTGAGE,12916.67,840-844,1/8/72,6,26,1034,1.70%,0,0,0,0,,0,,,n/a,?
876296,12000,12000,9.99%,36 months,B1,Debt Consolidation ,debt_consolidation,387.15,12000,14.50%,union city,CA,RENT,5000,705-709,12/3/00,13,15,19387,56.70%,0,0,0,0,,0,,,4 years,?
2365316,25000,25000,13.11%,60 months,B4,CC debt consolidation,debt_consolidation,570.24,25000,26.23%,Spring,TX,MORTGAGE,7666.67,710-714,7/6/01,10,31,30711,70.60%,2,0,0,0,,0,,,4 years,?
637323,7000,6975,9.25%,36 months,B2,josh ,debt_consolidation,223.42,7000,4.33%,homosassa,FL,RENT,7000,715-719,7/20/05,4,5,4109,32.60%,1,0,0,0,,0,,,3 years,?
377511,9600,4835.46,17.58%,36 months,F2,Wedding Loan,wedding,345.05,9600,23.11%,Morgantown,WV,RENT,4833.33,675-679,5/28/99,10,11,4656,27.10%,8,0,0,0,,0,,West Virginia University (Master's Degree),1 year,?
2307802,17425,17425,16.29%,36 months,C4,Debt consolidation,debt_consolidation,615.11,17425,15.30%,RED OAK,TX,MORTGAGE,6250,665-669,11/13/04,24,41,19452,68%,1,0,0,0,47,0,,,3 years,?
833816,1900,1900,5.99%,36 months,A2,Loan 1,credit_card,57.8,1900,2%,Van Nuys,CA,MORTGAGE,3350,770-774,11/22/00,5,34,2098,16.70%,1,0,0,0,,0,,,5 years,?
2227517,35000,34925,15.31%,60 months,C2,Green loan,renewable_energy,838.36,35000,15.28%,Ashburn,VA,MORTGAGE,10416.67,785-789,6/22/96,15,34,52604,11.30%,5,0,0,0,,0,,,< 1 year,?
1334445,22400,22375,11.14%,60 months,B2,consolidating credit cards and moving,debt_consolidation,488.6,22400,16.12%,Rancho Cucamonga,CA,MORTGAGE,10833.33,725-729,9/9/94,17,35,15426,35.50%,0,0,0,0,,0,,,7 years,?
1217719,1600,1600,7.90%,36 months,A4,Basement Crack fix,home_improvement,50.07,1600,25.10%,Chicago,IL,MORTGAGE,3416.67,720-724,3/2/89,18,39,12600,42.20%,0,0,0,0,,0,,,5 years,?
373583,12000,8262.75,14.42%,36 months,D2,consolidation loan,debt_consolidation,412.6,12000,13.79%,Bayonne,NJ,RENT,4125,715-719,5/13/95,5,24,2976,96%,4,0,0,0,,0,,St. Peter's College,3 years,?
1178180,10000,10000,18.55%,36 months,D4,Debt Consolidation,debt_consolidation,364.29,10000,15.72%,TUCSON,AZ,OWN,3333.33,665-669,11/25/96,5,19,8223,91.40%,1,0,0,0,36,0,,,9 years,?
303615,10000,8975,15.45%,36 months,E5,Personal loan,debt_consolidation,348.87,10000,15.10%,temecula,CA,RENT,5065,640-644,11/27/00,5,18,4344,54.30%,3,0,0,0,,0,,,10+ years,?
456643,16000,16000,13.22%,36 months,C2,Debt Consolidation,debt_consolidation,540.81,16000,5.66%,Upper Marlboro,MD,MORTGAGE,7416.67,730-734,9/17/95,4,16,6847,75.20%,3,0,0,0,,0,,,10+ years,?
453783,13000,12970.25,15.31%,36 months,D3,Wedding loan,other,452.6,13000,20.52%,LYNN,MA,OWN,2816.67,710-714,7/10/06,3,3,1867,66.70%,1,0,0,0,,0,,,4 years,?
2299379,29700,29700,22.47%,60 months,E5,Personal loan #1,other,0,29700,2.40%,University Heights,OH,RENT,6250,765-769,11/8/94,4,7,15043,0%,0,0,0,0,,0,,,5 years,?
1198629,11200,11200,17.27%,36 months,D1,Consolidate Credit Cards,debt_consolidation,400.82,11200,21.65%,Suffern,NY,RENT,4166.67,670-674,8/13/01,11,22,9446,91.30%,0,0,0,0,42,0,,,< 1 year,?
2444652,12700,12700,16.29%,36 months,C4,Debt consolidation,debt_consolidation,0,12700,9.06%,MOULTON,AL,OWN,6500,680-684,9/24/93,10,33,14527,79.50%,2,0,0,4,12,0,,,10+ years,?
560787,25000,24975,10.38%,36 months,B1,Debt Consolidation,debt_consolidation,811.15,25000,19.60%,Killeen,TX,RENT,6200,775-779,9/5/93,8,29,19536,31.40%,0,0,0,0,,0,,,10+ years,?
476083,19750,19750,16.70%,36 months,E2,New Life,house,701.16,19750,18.18%,ATLANTA,GA,OWN,4333.33,665-669,10/27/01,11,16,12532,57%,2,0,0,0,,0,,,< 1 year,?
574900,4750,4750,14.72%,36 months,C5,MANNY'S,debt_consolidation,164.01,4750,21.40%,HOT SPRINGS,AR,OWN,2000,665-669,7/12/97,8,15,5794,70.70%,0,0,0,0,42,0,,,4 years,?
667752,8000,8000,14.91%,36 months,D2,Credit Card Consolidation,debt_consolidation,276.98,8000,22.19%,Beaverton,OR,RENT,3750,660-664,3/30/95,15,35,23129,85.70%,2,0,0,0,,0,,,6 years,?
473390,24250,24086.83,12.18%,36 months,B4,Consolidation,debt_consolidation,807.53,24250,14.77%,PASADENA,CA,MORTGAGE,10833.33,740-744,6/19/89,13,39,27947,25.30%,0,0,0,0,,0,,,3 years,?
721920,4000,4000,7.29%,36 months,A4,Consolidation,debt_consolidation,124.04,4000,12.43%,Concord,CA,MORTGAGE,7666.67,735-739,7/23/96,6,25,35449,93%,0,0,0,0,71,0,,,10+ years,?
1360233,25000,25000,15.31%,60 months,C3,Home Buying and Improvement,house,598.83,25000,9.73%,Palmyra,VA,MORTGAGE,4952.17,720-724,8/30/97,9,31,9522,25.40%,2,0,0,0,,0,,,10+ years,?
373183,10000,9520.98,9.32%,36 months,A4,Beat the credit card companies,credit_card,319.47,10000,10.29%,Pasadena,CA,RENT,9166.67,750-754,12/15/96,8,19,28840,34.30%,0,0,0,0,,0,,Georgia Institute of Technology,< 1 year,?
